IFR_mean,fatalities_date,end_date,source,country,location_label,longitude,assay_name,latitude,link_two,link_one,study_info,global_region,assay_id,location_id,start_date,mean
0.47311125,12/21/2020,12/11/2020,Google,Colombia,Ipiales,-77.375862,SARS-CoV-2 Total Advia Centaur - Siemens,0.57706046,http://www.ins.gov.co/BibliotecaDigital/Informe-seroprevalencia-SARS-CoV-2-durante-la-epidemia-en-Colombia.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3890833,Age-Specific IFR,Latin America,14,54,12/3/2020,30.4208263
0.399481953,7/16/2020,7/10/2020,SeroTracker,Peru,Lambayeque,-79.808434,Coretest COVID-19 IgM/IgG Ab Test,-6.657649,http://www.dge.gob.pe/portal/docs/tools/teleconferencia/2020/SE422020/05.pdf,https://peerj.com/articles/11210/,Age-Specific IFR,Latin America,22,60,6/24/2020,34.6216116
0.755077731,7/17/2020,7/9/2020,SeroTracker,Peru,Lima (Metropolitana) + Callao,-76.501862,STANDARD Q COVID-19 IgM/IgG Plus,-11.951227,https://www.gob.pe/institucion/minsa/noticias/216013-estudio-de-prevalencia-determina-que-el-25-3-de-la-poblacion-de-lima-y-callao-estaria-infectada-de-covid-19/,https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00081-X/fulltext,Age-Specific IFR,Latin America,12,63,6/28/2020,21.6653759
0.451699683,7/29/2020,7/18/2020,SeroTracker,Peru,"Iquitos, Loreto",-74.726685,Orient Gene Biotech COVID-19 IgG/IgM Rapid Test (recognizes spike),-4.9434032,https://www.medrxiv.org/content/10.1101/2021.01.17.21249913v1.full-text,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(21)00173-X/fulltext,Age-Specific IFR,Latin America,30,64,7/13/2020,65.064571
0.782927008,10/19/2020,10/10/2020,SeroTracker,Brazil,Sao Paulo City,-46.639004,"Elecsys Anti-SARS-CoV-2 Roche, nucleocapsid IgG IgM ",-23.553694,https://onlinelibrary.wiley.com/doi/abs/10.1111/tid.13706,https://www.monitoramentocovid19.org/pulicacoes,Age-Specific IFR,Latin America,2,73,10/1/2020,25.9849598
0.735350822,5/12/2020,4/18/2020,SeroTracker,China,Wuhan #1,114.34837,Bioscience 2019-nCoV IgM and IgG,30.611429,https://www.medrxiv.org/content/10.1101/2020.09.23.20197756v1,https://www.thelancet.com/journals/lanwpc/article/PIIS2666-6065(21)00003-1/fulltext,Age-Specific IFR,East Asia,26,121,4/10/2020,4.0618364
0.274672387,9/13/2020,10/29/2020,SeroTracker,Colombia,Cordoba: 8 cities,-75.740021,INgezim COVID 19 DR Test,8.850709,https://academic.oup.com/trstmh/advance-article/doi/10.1093/trstmh/trab094/6311397,https://www.sciencedirect.com/science/article/pii/S1201971221005075,Age-Specific IFR,Latin America,23,148,7/1/2020,37.7906998
0.183218893,1/29/2021,1/6/2021,Google,Jordan,National Study,35.82724,Wantai ELISA total IgM/IgG,31.914667,,https://www.sciencedirect.com/science/article/pii/S2352771421000823,Age-Specific IFR,Middle East,17,156,12/27/2020,33.313514
0.868875768,6/5/2020,5/16/2020,SeroTracker,Hungary,National Study,19.202713,Abbott IgG Test,47.272705,https://semmelweis.hu/english/2020/07/h-uncover-results-an-estimated-56000-people-had-prior-exposure-to-the-novel-coronavirus-through-the-end-of-the-nationwide-study/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7366154/,Age-Specific IFR,Europe,182,192,5/1/2020,0.4542844
0.01577297,11/23/2020,11/30/2020,SeroTracker,India,Tamil Nadu (iFlash districts),78.743126,iFlash SARS-CoV-2 (Shenzhen YHLO Biotech),9.3495312,,https://www.medrxiv.org/content/10.1101/2021.02.03.21250949v2.full-text,Age-Specific IFR,South Asia ,6,201,10/19/2020,43.9440959
0.065043875,11/23/2020,11/30/2020,SeroTracker,India,Tamil Nadu (Vitros districts),76.890686,Vitros anti-SARS-CoV-2 IgG Regent Pack,11.001301,,https://www.medrxiv.org/content/10.1101/2021.02.03.21250949v2.full-text,Age-Specific IFR,South Asia ,7,202,10/19/2020,25.8569643
1.617940572,10/28/2020,10/15/2020,SeroTracker,Brazil,Cuiaba,-56.053463,DiaSorin LIAISON SARS-CoV-2 S1/S2 IgG,-15.53803,http://www.mt.gov.br/-/16042707-unemat-coordena-estudo-sobre-condicoes-de-saude-da-populacao-de-mt-durante-pandemia,http://webcache.googleusercontent.com/search?q=cache:Mn7o2QxcOGkJ:www.saude.mt.gov.br/arquivo/12692+&cd=1&hl=en&ct=clnk&gl=us,Age-Specific IFR,Latin America,35,209,9/16/2020,17.90731
1.223829513,10/28/2020,10/15/2020,SeroTracker,Brazil,Varzea Grande,-56.154282,DiaSorin LIAISON SARS-CoV-2 S1/S2 IgG,-15.6506,http://www.mt.gov.br/-/16042707-unemat-coordena-estudo-sobre-condicoes-de-saude-da-populacao-de-mt-durante-pandemia,http://webcache.googleusercontent.com/search?q=cache:Mn7o2QxcOGkJ:www.saude.mt.gov.br/arquivo/12692+&cd=1&hl=en&ct=clnk&gl=us,Age-Specific IFR,Latin America,35,216,9/16/2020,27.4823777
0.279816505,2/2/2021,2/16/2021,Google,Paraguay,Asuncion + Central Dept.,-57.476822,"Beijing Kewei Clinical Diagnostic, COVID-19 IgG IgM rapid cassette",-25.379204,https://www.youtube.com/watch?v=KFv0YroI2aM,https://www.facebook.com/vigisaludpy/videos/resultados-de-estudios-de-seroprevalencia-de-covid-19-exceso-de-mortalidad-table/505877827231503/,Age-Specific IFR,Latin America,45,221,12/23/2020,21.3052439
0.055261956,9/1/2020,8/7/2020,SeroTracker,India,Delhi,77.108978,Kavach-AntiSARS-CoV-2 IgG ELISA,28.646519,https://www.medrxiv.org/content/10.1101/2020.12.13.20248123v1.full,https://academic.oup.com/trstmh/advance-article/doi/10.1093/trstmh/trab109/6335791,Population IFR,South Asia ,178,11,8/1/2020,43.2281381
0.016232197,8/19/2020,8/29/2020,SeroTracker,India,Karnataka,76.182053,"Translational Health Sci and Tech Institute, India",14.266849,https://www.medrxiv.org/content/10.1101/2020.11.02.20224782v1,https://jamanetwork.com/journals/jama/fullarticle/2776292,Population IFR,South Asia ,4,12,6/15/2020,43.4355699
0.214991063,11/9/2020,10/17/2020,SeroTracker,India,Pimpri-Chinchwad,73.914558,Abbott IgG Test,18.5,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3736159,https://pubmed.ncbi.nlm.nih.gov/34558487/,Population IFR,South Asia ,113,13,10/7/2020,40.6714369
0.18356211,10/11/2020,9/16/2020,SeroTracker,India,Puducherry,79.772415,Elecsys Anti-SARS-CoV-2,11.991779,https://covid19jipmer.org/jipmer-press-release-03-09-2020/,https://wwwnc.cdc.gov/eid/article/27/2/20-4480_article,Population IFR,South Asia ,2,16,9/10/2020,20.5740072
5.73E-03,8/29/2020,8/7/2020,SeroTracker,India,Paschim Medinipur (West Bengal),87.370659,ERBALISA COVID-19 IgG,22.394842,,https://www.medrxiv.org/content/10.1101/2020.09.12.20193219v1.full-text,Population IFR,South Asia ,181,18,7/27/2020,12.4880706
0.039286496,9/9/2020,8/21/2020,SeroTracker,Mozambique,Maputo city,32.575768,Panbio Abbott ,-25.878944,pages 7 and 11: https://covid19.ins.gov.mz/wp-content/uploads/2020/08/Inque%CC%81rito-SE-SARS-CoV-2_Cidade-de-Maputo_resultados_31Ago2020.pdf,dates on page 24: https://covid19.ins.gov.mz/wp-content/uploads/2020/12/Inquerito-de-SARS-CoV-2_Maxixe-e-Massinga.pdf,Population IFR,Africa,10,24,8/3/2020,3.7956225
1.08915224,9/30/2020,9/13/2020,Google,Bolivia,Santa Cruz,-63.282505,Standard Q COVID-19 IgM/IgG Combo,-17.746258,https://www.facebook.com/BoliviaenlasNoticias.bo/videos/gobernaci%C3%B3n-presenta-el-estudio-de-seroprevalencia-para-el-covid-19/978736715963562/?__so__=permalink&__rv__=related_videos,https://pl-pl.facebook.com/angelicasosap/videos/5161484287210480/,Population IFR,Latin America,42,42,8/22/2020,21.2527409
0.445166992,10/3/2020,9/27/2020,SeroTracker,Peru,Cusco Province,-71.808754,Elecsys Anti-SARS-CoV-2 ROCHE Test,-13.661315,https://web.archive.org/web/20201220094258/http://www.diresacusco.gob.pe/new/archivos/4335,https://www.medrxiv.org/content/10.1101/2021.01.17.21249990v1.full-text,Population IFR,Latin America,2,59,9/12/2020,36.703867
0.024425292,6/10/2020,6/9/2020,Google,Brazil,Foz do Iguacu,-54.480598,in-house ELISA for recombinant spike protein,-25.438644,https://portal.unila.edu.br/noticias/copy_of_GT6Informe3.docx.pdf,https://portal.unila.edu.br/noticias/inqueritos-sorologicos-mostram-queda-nos-niveis-de-anticorpos-contra-a-covid-19,Population IFR,Latin America,28,74,5/14/2020,12.812079
0.063160221,11/15/2020,10/20/2020,SeroTracker,India,Kashmir: Srinagar district,74.898346,Abbott SARS-CoV-2 IgG,34.129353,https://bmjopen.bmj.com/content/11/9/e053791,https://www.ijcmph.com/index.php/ijcmph/article/view/7827,Population IFR,South Asia,177,77,10/17/2020,50.4331101
0.054413662,11/12/2020,10/22/2020,SeroTracker,Nepal,National Study,84.891899,"Wantai SARS-CoV-2 Total Antibody, IgG IgM (against RBD of spike)",27.670149,https://reliefweb.int/report/nepal/nepal-covid-19-response-situation-report-noxxxvi-14-december-2020,https://mohp.gov.np/attachments/article/708/First%20Sero-prevalence_final_report_04-04-2021.pdf,Population IFR,South Asia,17,78,10/9/2020,11.5561436
0.105216394,8/28/2020,8/10/2020,SeroTracker,Ethiopia,Addis Ababa,38.749771,Core Technology COVID-19 IgG rapid test,9.0108528,,https://www.biorxiv.org/content/10.1101/2020.10.13.337287v1.full,Population IFR,Africa,19,80,7/22/2020,3.4065898
0.267255119,10/14/2020,10/31/2020,SeroTracker,Iran,National Study,50.806313,Pishtaz Teb SARS-CoV-2 ELISA kits (for nucleocapsid),34.338009,https://www.medrxiv.org/content/10.1101/2021.03.12.21253442v2.full-text,https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(21)00298-6/fulltext,Population IFR,Middle East,18,81,8/3/2020,13.030974
0.461079546,10/28/2020,11/13/2020,SeroTracker,Mexico,National Study,-99.040001,"Elecsys Anti-SARS-CoV-2 Roche, nucleocapsid IgG IgM ",20.004011,https://ensanut.insp.mx/encuestas/ensanutcontinua2020/doctos/informes/ensanutCovid19ResultadosNacionales.pdf,https://ensanut.insp.mx/encuestas/ensanutcontinua2020/informes.php,Population IFR,Latin America,2,82,8/18/2020,26.1574802
0.096302702,8/7/2020,7/10/2020,SeroTracker,India,Odisha: Bhubaneswar,85.584732,"Elecsys Anti-SARS-CoV-2 Roche, nucleocapsid IgG IgM ",20.12182,,https://web.archive.org/web/20210526224225/https://www.cambridge.org/core/services/aop-cambridge-core/content/view/29A7905F297A1EFA68749AC3C6383300/S0950268821000972a.pdf/div-class-title-seroprevalence-of-sars-cov-2-in-bhubaneswar-india-findings-from-3-rounds-of-community-surveys-div.pdf,Population IFR,South Asia,2,83,7/10/2020,2.1801385
0.049856817,9/3/2020,8/6/2020,SeroTracker,India,Odisha: Berhampur,84.605911,"Elecsys Anti-SARS-CoV-2 Roche, nucleocapsid IgG IgM ",19.569017,,https://www.nature.com/articles/s41598-021-89877-y,Population IFR,South Asia,2,84,8/6/2020,29.4231216
0.310040521,2/1/2021,1/31/2021,SeroTracker,South Africa,Mitchells Plain,18.586855,"Wantai SARS-CoV-2 Total Antibody, IgG IgM (against RBD of spike)",-33.985073,https://twitter.com/nicd_sa/status/1371381537388646404,https://web.archive.org/web/20210315091235/https://www.nicd.ac.za/wp-content/uploads/2021/03/COVID-19-Special-Public-Health-Surveillance-Bulletin-9-12-March-2021_.pdf,Population IFR,Africa,17,90,12/8/2020,45.4036356
0.030151496,8/4/2020,7/30/2020,SeroTracker,Ethiopia,Dire Dawa,41.961708,Abbott IgG Test,9.6153812,https://www.researchsquare.com/article/rs-266413/v1,https://link.springer.com/article/10.1186/s41182-021-00347-7,Population IFR,Africa,183,98,6/15/2020,4.9952361
0.24129837,8/12/2020,7/27/2020,SeroTracker,Zambia,Ndola + 5 other districts,28.084299,Euroimmune anti-spike,-12.857821,commentary: https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(21)00092-9/fulltext,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(21)00053-X/fulltext,Population IFR,Africa,27,102,7/4/2020,2.6735905
0.535519375,6/30/2020,6/28/2020,SeroTracker,Russia,St. Petersburg,30.182474,Genetico CoronaPass ELISA,59.902176,https://www.medrxiv.org/content/10.1101/2020.11.02.20221309v1.full-text,https://www.nature.com/articles/s41598-021-92206-y,Population IFR,Europe,31,120,5/25/2020,9.8947443
0.204930745,5/12/2020,4/18/2020,SeroTracker,China,Hubei province (excluding Wuhan #1),112.57282,Bioscience 2019-nCoV IgM and IgG,30.672016,https://www.medrxiv.org/content/10.1101/2020.09.23.20197756v1,https://www.thelancet.com/journals/lanwpc/article/PIIS2666-6065(21)00003-1/fulltext,Population IFR,East Asia,26,123,4/10/2020,0.6755241
0.034570248,8/20/2020,7/31/2020,SeroTracker,Pakistan,Karachi,67.038803,"Elecsys Anti-SARS-CoV-2 Roche, nucleocapsid IgG IgM ",24.95322,,https://link.springer.com/article/10.1007/s15010-021-01629-2,Population IFR,South Asia,2,125,7/15/2020,38.3542849
0.0164066,8/20/2020,7/31/2020,SeroTracker,Pakistan,Lahore,73.949196,"Elecsys Anti-SARS-CoV-2 Roche, nucleocapsid IgG IgM ",31.256859,,https://link.springer.com/article/10.1007/s15010-021-01629-2,Population IFR,South Asia,2,126,7/15/2020,46.2157987
0.084402172,8/6/2020,7/19/2020,SeroTracker,India,Mumbai (3 wards),72.837334,Abbott IgG Test,18.985527,https://www.medrxiv.org/content/10.1101/2020.08.27.20182741v1.full-text,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(20)30467-8/fulltext,Population IFR,South Asia ,114,140,6/29/2020,51.9917999
0.238960972,11/28/2020,11/30/2020,SeroTracker,Poland,Katowice region,18.94836,Euroimmune anti-spike,50.213768,https://clinicaltrials.gov/ct2/show/NCT04627623,https://www.mdpi.com/1660-4601/18/6/3188/htm,Population IFR,Europe,27,144,10/1/2020,12.200625
0.062509522,9/4/2020,8/20/2020,SeroTracker,India,Malegaon (city population),74.088226,Karwa Kavach SARS-CoV-2 ELISA IgG,20.260952,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8140273/,Population IFR,South Asia ,44,203,7/25/2020,41.0888542
0.903237821,10/9/2020,9/29/2020,SeroTracker,Brazil,Pitangueiras,-48.277431,"COVID-19 IgG/IgM ECO Test (not the ""Combo"" test)",-21.007084,https://pitangueiras.sp.gov.br/wp-content/uploads/2020/12/Relatorio-Inquerito-COVID-19-Final.pdf,https://pitangueiras.sp.gov.br/wp-content/uploads/2020/10/Relatorio-Inquerito-Covid-19.pdf,Population IFR,Latin America,46,218,8/24/2020,7.0556983
0.945990065,10/14/2020,10/15/2020,SeroTracker,Brazil,Mato Grosso (8 cities),-56.031708,DiaSorin LIAISON SARS-CoV-2 S1/S2 IgG,-14.879041,http://www.mt.gov.br/-/16042707-unemat-coordena-estudo-sobre-condicoes-de-saude-da-populacao-de-mt-durante-pandemia,http://webcache.googleusercontent.com/search?q=cache:Mn7o2QxcOGkJ:www.saude.mt.gov.br/arquivo/12692+&cd=1&hl=en&ct=clnk&gl=us,Population IFR,Latin America,35,220,9/16/2020,11.3167244
,,8/5/2020,SeroTracker,India,Pune (five prabhags/subwards),73.914558,Euroimmune anti-spike,18.45,https://web.archive.org/web/20200819061925/http://www.iiserpune.ac.in/userfiles/files/Pune_Serosurvey_Technical_report-16_08_2020.pdf,https://www.medrxiv.org/content/10.1101/2020.11.17.20228155v2.full,Age-Specific Prevalence,South Asia ,27,17,7/20/2020,54.7616864
,,10/2/2020,SeroTracker,Mozambique,Beira,34.56562,Panbio Abbott ,-18.781509,pages 7 and 17: https://covid19.ins.gov.mz/wp-content/uploads/2020/10/InCOVID-2020_-BEIRA_-RESULTADOS-PRELIMINARES.pdf,dates on page 24: https://covid19.ins.gov.mz/wp-content/uploads/2020/12/Inquerito-de-SARS-CoV-2_Maxixe-e-Massinga.pdf,Age-Specific Prevalence,Africa,10,22,9/21/2020,5.4662566
,,9/30/2020,SeroTracker,Mozambique,Matola district (subset of Maputo province),32.619793,Panbio Abbott ,-25.494482,"pages 7, 9, and 10: https://covid19.ins.gov.mz/wp-content/uploads/2020/10/Inque%CC%81rito-Provincia-de-Maputo_resultados-preliminares_21Out2020-versao-final.pdf",dates on page 24: https://covid19.ins.gov.mz/wp-content/uploads/2020/12/Inquerito-de-SARS-CoV-2_Maxixe-e-Massinga.pdf,Age-Specific Prevalence,Africa,10,25,9/14/2020,3.5958496
,,6/30/2020,SeroTracker,Mozambique,Nampula,39.662399,Standard Q COVID-19 IgM/IgG Plus,-14.995837,page 9: https://web.archive.org/web/20200715120615/https://covid19.ins.gov.mz/wp-content/uploads/2020/07/Inquerito-SARS-CoV-2-em-Mocambique_vfinal.pdf,dates on page 24: https://covid19.ins.gov.mz/wp-content/uploads/2020/12/Inquerito-de-SARS-CoV-2_Maxixe-e-Massinga.pdf,Age-Specific Prevalence,Africa,12,26,6/17/2020,4.3874135
,,7/13/2020,SeroTracker,Mozambique,Pemba,40.429417,Qingdao Hightop Biotech IgM/IgG Duo,-13.014747,pages 7 and 12: https://covid19.ins.gov.mz/wp-content/uploads/2020/09/Inquerito-SARS-CoV-2-PEMBA_-RESULTADOS-PRELIMINARES_FINAL_3_27.07.2020.pdf,dates on page 24: https://covid19.ins.gov.mz/wp-content/uploads/2020/12/Inquerito-de-SARS-CoV-2_Maxixe-e-Massinga.pdf,Age-Specific Prevalence,Africa,11,27,7/6/2020,2.5680723
,,8/21/2020,SeroTracker,Mozambique,Quelimane,36.908966,Panbio Abbott ,-16.743994,pages 6 and 12: https://covid19.ins.gov.mz/wp-content/uploads/2020/09/Inquerito-SARS-CoV-2-QUELIMANE_-RESULTADOS-PRELIMINARES_1.1_03.09.2020.pdf,dates on page 24: https://covid19.ins.gov.mz/wp-content/uploads/2020/12/Inquerito-de-SARS-CoV-2_Maxixe-e-Massinga.pdf,Age-Specific Prevalence,Africa,10,28,8/10/2020,3.014578
,,10/12/2020,SeroTracker,Mozambique,Tete,33.13929,Qingdao Hightop Biotech IgM/IgG Duo,-15.490508,pages 8 and 12: https://covid19.ins.gov.mz/wp-content/uploads/2020/09/Inque%CC%81rito-SE-SARS-CoV-2_Cidade-de-Tete_resultados.pdf,dates on page 24: https://covid19.ins.gov.mz/wp-content/uploads/2020/12/Inquerito-de-SARS-CoV-2_Maxixe-e-Massinga.pdf,Age-Specific Prevalence,Africa,11,29,8/31/2020,0.8704832
,,11/17/2020,SeroTracker,Mozambique,Chimoio,33.033279,Qingdao Hightop Biotech IgM/IgG Duo,-18.879423,"pages 7, 13, and 16: https://covid19.ins.gov.mz/wp-content/uploads/2020/11/Inqueirito-SE-SARS-CoV-2-de-Cidade-de-Chimoio-Resultados-preliminares-27-Nov-2020-V_1.1_corrigido-I_JANI_FINAL1.pdf",dates on page 24: https://covid19.ins.gov.mz/wp-content/uploads/2020/12/Inquerito-de-SARS-CoV-2_Maxixe-e-Massinga.pdf,Age-Specific Prevalence,Africa,11,30,11/2/2020,0.5112823
,,11/21/2020,SeroTracker,Mozambique,Chakwe,33.003216,Panbio Abbott ,-24.607189,"pages 7, 23, and 26: https://covid19.ins.gov.mz/wp-content/uploads/2020/12/InCOVID-2020_-XAI-XAI-CHOKWE_-RESULTADOS-PRELIMINARES_08-12-2020.pdf",dates on page 24: https://covid19.ins.gov.mz/wp-content/uploads/2020/12/Inquerito-de-SARS-CoV-2_Maxixe-e-Massinga.pdf,Age-Specific Prevalence,Africa,10,31,11/16/2020,5.5126351
,,11/21/2020,SeroTracker,Mozambique,Maxixe,34.910828,Qingdao Hightop Biotech IgM/IgG Duo,-23.618555,https://covid19.ins.gov.mz/massinga-e-maxixe-com-taxas-de-exposicao-a-covid-19-mais-elevadas-do-pais/,"pages 6, 8, 12, 14, 19, 21, and 24: https://covid19.ins.gov.mz/wp-content/uploads/2020/12/Inquerito-de-SARS-CoV-2_Maxixe-e-Massinga.pdf",Age-Specific Prevalence,Africa,11,32,11/7/2020,4.9939941
,,12/3/2020,SeroTracker,Mozambique,Massinga,35.103497,Qingdao Hightop Biotech IgM/IgG Duo,-22.952366,https://covid19.ins.gov.mz/massinga-e-maxixe-com-taxas-de-exposicao-a-covid-19-mais-elevadas-do-pais/,"pages 6, 8, 12, 14, 19, 21, and 24: https://covid19.ins.gov.mz/wp-content/uploads/2020/12/Inquerito-de-SARS-CoV-2_Maxixe-e-Massinga.pdf",Age-Specific Prevalence,Africa,11,33,11/26/2020,7.3327998
,,11/12/2020,SeroTracker,Mozambique,Xai-Xai,33.584526,Panbio Abbott ,-25.001518,"pages 7, 14, and 17: https://covid19.ins.gov.mz/wp-content/uploads/2020/12/InCOVID-2020_-XAI-XAI-CHOKWE_-RESULTADOS-PRELIMINARES_08-12-2020.pdf",dates on page 24: https://covid19.ins.gov.mz/wp-content/uploads/2020/12/Inquerito-de-SARS-CoV-2_Maxixe-e-Massinga.pdf,Age-Specific Prevalence,Africa,10,34,11/2/2020,3.7166176
,,6/30/2020,SeroTracker,Nigeria,Niger State,5.9861398,"UNCOV-40, COVID-19 IgG and IgM",9.598196,https://preprints.jmir.org/preprint/24309,https://www.medrxiv.org/content/10.1101/2020.08.04.20168112v1.full-text,Age-Specific Prevalence,Africa,32,37,6/26/2020,24.6886234
,,11/1/2020,SeroTracker,Ecuador,Cuenca,-79.019745,Standard Q COVID-19 IgM/IgG Plus,-2.8932245,https://www.ucuenca.edu.ec/images/New_PLANTILLA-DIUC---PRESENTACION-ESTUDIO-SERPOPREVALENCIA-2.pptx,https://www.mdpi.com/1660-4601/18/9/4657/htm,Age-Specific Prevalence,Latin America,12,58,8/11/2020,12.9396245
,,8/31/2020,,India,Odisha: Rourkela,84.828445,"Elecsys Anti-SARS-CoV-2 Roche, nucleocapsid IgG IgM ",22.146132,,,Age-Specific Prevalence,South Asia,2,88,8/31/2020,23.9737012
,,11/26/2020,SeroTracker,Cameroon,Cite Verte,11.495543,Panbio COVID-19 IgG/IgM Rapid Test,3.8889706,,https://www.researchsquare.com/article/rs-411135/v1,Age-Specific Prevalence,Africa,10,96,10/14/2020,31.8100653
